x,y
9.096217648,78311.16075
14.63742853,103897.6645
12.25580785,97836.26101
7.215159565,80550.25638
6.905628482,68555.82096
12.42799856,108021.4423
6.534503147,55778.01999
12.36358975,101586.9798
11.45101022,103966.6186
9.295277043,76826.00914
8.468973232,73657.03907
11.11359701,96439.33831
4.216462814,43282.85645
8.921098377,73119.73496
13.29785748,109692.0381
15.47570863,128125.7467
9.84113925,87499.26503
17.99332461,136438.8296
16.61818648,140414.062
7.747371847,75920.22642
14.6461329,122765.9405
18.44957388,138676.796
8.770589197,90840.2148
11.88558736,99453.36503
13.74332637,118663.1713
13.81155569,125247.5295
18.67718793,144470.99
11.97104337,98454.64931
9.144493116,92321.39192
16.94375093,133162.3593
6.873776022,61723.07434
8.186791466,77095.35502
6.238924204,59042.6815
12.15553663,109559.0064
10.63083424,77206.62874
12.50645606,109743.4455
11.18464153,103902.5314
8.915309097,82585.66147
10.80270889,81088.97055
5.391927655,62200.35301
14.96011903,111971.7465
12.24674897,101515.0452
3.511360122,47090.6023
19.8803112,141613.3648
11.3230796,99370.06087
9.736495812,72953.14344
15.68932604,131312.3426
7.045341497,68957.25418
17.90284439,135509.1423
12.29004918,90658.8626
6.824709341,75147.59074
4.698452895,46071.1299
12.51840023,91128.91844
14.32303265,105126.4255
15.31240374,118217.9745
12.25434694,102729.792
12.19178147,90792.28593
3.428368324,31126.14409
16.68074531,131792.5016
9.811036,87540.54488
6.976080477,68478.3453
11.84164639,94708.41723
15.57357937,117182.666
2.372895163,36048.82832
0,20000
4.556012266,52790.64656
10.47041832,80294.55925
11.22985999,82720.34225
15.65679017,118540.8708
18.33208399,144911.5121
20,150000
7.509520017,73881.48927
10.86313849,81199.99099
16.78326082,123939.5731
7.798586019,74226.9912
3.826831301,43047.41708
11.12218472,100812.2915
14.52732268,108995.7101
16.75909665,118842.3479
10.82020908,97468.27209
14.17212153,114754.4166
13.51746096,107396.9302
9.959609668,85405.03533
6.146861866,62846.45214
10.15924022,91710.8679
9.333636038,74737.37664
8.981039843,81016.26833
13.61084096,112452.5245
11.09187877,101930.1139
8.473754559,84709.84735
5.466447629,62164.05969
9.705053066,88875.11018
7.956746397,68266.46137
11.23567221,92525.83268
10.7770518,86080.90676
5.755395055,60661.28647
9.082996942,90385.87561
12.06514776,97977.2625
3.894429738,57982.9542
5.691189524,56337.82217
